ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
bichom,bichom,bich1234,Bichom,,,,,
bulu,bulu,bulu1255,Bulu,,,,,
chayangtajo,chayangtajo,bugu1245,Chayangtajo,,,,,
dikhyang,dikhyang,dikh1234,Dikhyang,,,,,
duhumbi,duhumbi,chug1252,Chug,,,,,
jerigaon,jerigaon,jeri1243,Jerigaon,,,,,
kaspi,kaspi,kasp1234,Kaspi,,,,,
khispi,khispi,lish1235,Lish,,,,,
khoina,khoina,khoi1253,Khoina,,,,,
khoitam,khoitam,khoi1252,Khoitam,,,,,
kojorojo,kojorojo,kojo1234,Kojo Rojo,,,,,
lasumpatte,lasumpatte,lasu1234,Lasumpatte,,,,,
lidaqin,lidaqin,sulu1241,Eastern Puroik,,,,,
namphri,namphri,namp1239,Namphri,,,,,
rahung,rahung,rahu1234,Rahung,,,,,
rawa,rawa,rawa1269,Rawa (Puroik),,,,,
rupa,rupa,rupa1234,Rupa,,,,,
saria,saria,sari1249,Sario Saria,,,,,
shergaon,shergaon,sher1261,Shergaon,,,,,
singchung,singchung,sing1271,Singchung,,,,,
wangho,wangho,wang1301,Wangho,,,,,
zmyyc,zmyyc,sulu1241,Eastern Puroik,,,,,
